League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
German League,Freiburg , Stuttgart,1,0,2,0,1.77,3.2,4.0,UST
German League,Greuther Furth , Mainz,1,0,2,1,3.9,3.2,1.8,UST
German League,Hoffenheim , Dortmund,1,1,2,3,3.2,3.6,1.87,UST
German League,Leverkusen , Augsburg,2,0,5,1,1.37,4.7,6.0,UST
Italian League,Genoa , Udinese,0,0,0,0,3.2,3.0,2.1,ALT
Indian S League,Chennaiyin , NorthEast Utd,0,1,2,1,1.7,3.6,3.9,UST
Spanish League,Levante , Cadiz,0,1,0,2,1.7,3.3,4.4,UST
English League Champ,Nottingham , Derby,0,0,2,1,1.82,2.95,4.3,UST
English League Champ,Bristol City , Cardiff,1,1,3,2,2.55,2.9,2.6,UST
English Premier,Everton , Aston Villa,0,1,0,1,2.6,3.4,2.3,ALT
A League,Sydney FC , Perth Glory,0,0,1,2,1.5,3.8,5.2,UST
Mexican League,Mazatlan , Toluca,1,0,1,2,2.2,3.0,3.0,UST
Spanish League,Espanyol , Real Betis,1,2,1,4,3.0,3.3,2.05,UST
French League,Lyon , St Etienne,1,0,1,0,1.35,4.5,7.0,ALT
English Premier,Watford , Norwich,0,0,0,3,1.9,3.5,3.5,UST
Italian League,Verona , Bologna,1,1,2,1,1.82,3.3,4.0,UST
German League,E Frankfurt , Bielefeld,0,2,0,2,1.53,4.0,4.5,UST
A League,Wellington , Western United,2,0,2,1,2.6,3.2,2.35,UST
Mexican League,San Luis , Juarez,0,0,0,1,2.2,2.8,3.2,ALT
Spanish Cup,Athletic Bilbao , Barcelona,1,1,2,2,3.05,3.1,2.1,UST
Italian Cup,Roma , Lecce,1,1,3,1,1.28,5.5,6.5,UST
English League Cup,Arsenal , Liverpool,0,1,0,2,2.45,3.2,2.45,UST
African Nations Cup,Gambia , Tunisia,0,0,1,0,5.2,3.1,1.65,ALT
African Nations Cup,Mali , Mauritania,1,0,2,0,1.2,5.0,12.0,UST
Spanish League,Getafe , Granada,1,1,4,2,2.0,2.75,3.9,UST
Spanish Cup,Elche , Real Madrid,0,0,0,0,5.2,4.2,1.45,ALT
